chave,numero,natureza,qtdItens,csts,cfops,possivelDevolucao,itensDevolucao,erro
35260721101478000188550010000856721524285020,85672,VENDAS,1,100,6102,NAO,,
35231219712500000184550010000031281111242309,3128,Venda de mercadoria adquiridas e ou recebidas de terceiros,1,0102,6102,NAO,,
35260617050081000137550020000002641944423021,264,VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,63,0101,6102,NAO,,
35260626043230000121550010000674521001611742,67452,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000674531001611758,67453,VENDA,22,0102,6102,NAO,,
35260626043230000121550010000674631001612319,67463,VENDA,28,0102,6102,NAO,,
35260626043230000121550010000674681001612552,67468,VENDA,2,0102,6102,NAO,,
35260626043230000121550010000674671001612547,67467,VENDA,2,0102,6102,NAO,,
35260626043230000121550010000674611001612250,67461,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000674621001612273,67462,VENDA,22,0102,6102,NAO,,
35260626043230000121550010000675131001616440,67513,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000675141001616480,67514,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000675061001616208,67506,VENDA,31,0102,6102,NAO,,
35260626043230000121550010000675081001616245,67508,VENDA,32,0102,6102,NAO,,
35260626043230000121550010000675101001616294,67510,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000675201001616622,67520,VENDA,36,0102,6102,NAO,,
35260626043230000121550010000675071001616221,67507,VENDA,31,0102,6102,NAO,,
35260626043230000121550010000675111001616348,67511,VENDA,31,0102,6102,NAO,,
35260626043230000121550010000675151001616517,67515,VENDA,15,0102,6102,NAO,,
35260626043230000121550010000675051001616189,67505,VENDA,31,0102,6102,NAO,,
35260626043230000121550010000675091001616269,67509,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000675121001616388,67512,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000675351001617281,67535,VENDA,34,0102,6102,NAO,,
35260626043230000121550010000675341001617268,67534,VENDA,30,0102,6102,NAO,,
35260626043230000121550010000675361001617335,67536,VENDA,17,0102,6102,NAO,,
35260626043230000121550010000675431001617704,67543,VENDA,15,0102,6102,NAO,,
35260626043230000121550010000675481001617824,67548,VENDA,13,0102,6102,NAO,,
35260626043230000121550010000675441001617728,67544,VENDA,20,0102,6102,NAO,,
