chave,numero_nf,acao,status_meudanfe,emitente,emitente_cnpj,destinatario,destinatario_cnpj,valor_total,itens
35260617050081000137550020000002641944423021,264,criada,OK,LEONAM COMERCIO DE JOIAS E RELOGIOS LTDA,17050081000137,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,215.1,63
35260626043230000121550010000674521001611742,67452,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,44.4,30
35260626043230000121550010000674531001611758,67453,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,58,22
35260626043230000121550010000674631001612319,67463,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,124.5,28
35260626043230000121550010000674681001612552,67468,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,22.4,2
35260626043230000121550010000674671001612547,67467,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,22.4,2
35260626043230000121550010000674611001612250,67461,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,157.3,30
35260626043230000121550010000674621001612273,67462,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,145,22
35260626043230000121550010000675131001616440,67513,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,80,30
35260626043230000121550010000675141001616480,67514,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,103.4,30
35260626043230000121550010000675061001616208,67506,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,90.2,31
35260626043230000121550010000675081001616245,67508,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,126.9,32
35260626043230000121550010000675101001616294,67510,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,91,30
35260626043230000121550010000675201001616622,67520,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,431.6,36
35260626043230000121550010000675071001616221,67507,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,98.6,31
35260626043230000121550010000675111001616348,67511,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,160.6,31
35260626043230000121550010000675151001616517,67515,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,93.6,15
35260626043230000121550010000675051001616189,67505,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,100.6,31
35260626043230000121550010000675091001616269,67509,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,91.6,30
35260626043230000121550010000675121001616388,67512,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,105.6,30
35260626043230000121550010000675351001617281,67535,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,79.7,34
35260626043230000121550010000675341001617268,67534,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,161,30
35260626043230000121550010000675361001617335,67536,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,64.1,17
35260626043230000121550010000675431001617704,67543,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,127,15
35260626043230000121550010000675481001617824,67548,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,121.5,13
35260626043230000121550010000675441001617728,67544,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,129,20
35260626043230000121550010000675601001618493,67560,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,114.2,35
35260626043230000121550010000675591001618433,67559,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,250.2,31
35260626043230000121550010000675621001618560,67562,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,61.4,26
35260626043230000121550010000675631001618584,67563,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,89.2,29
35260626043230000121550010000675611001618539,67561,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,127,29
35260626043230000121550010000675681001618807,67568,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,115.8,24
35260526043230000121550010000673381001606260,67338,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,59,30
35260526043230000121550010000673411001606290,67341,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,162.3,29
35260526043230000121550010000673431001606317,67343,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,127.4,30
35260526043230000121550010000673451001606338,67345,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,165.4,30
35260526043230000121550010000673461001606351,67346,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,65.6,18
35260526043230000121550010000673491001606388,67349,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,69.66,32
35260526043230000121550010000673371001606255,67337,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,59.4,30
35260526043230000121550010000673401001606285,67340,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,87.2,24
35260526043230000121550010000673391001606276,67339,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,38.5,20
35260526043230000121550010000673441001606322,67344,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,106.5,33
35260526043230000121550010000673501001606397,67350,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,81.7,22
35260526043230000121550010000673421001606301,67342,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,104,50
35260526043230000121550010000673471001606367,67347,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,195.8,37
35260526043230000121550010000673481001606372,67348,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,61.4,30
35260526043230000121550010000673851001608468,67385,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,66.2,30
35260526043230000121550010000673871001608489,67387,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,68.2,32
35260526043230000121550010000673881001608494,67388,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,75.4,30
35260526043230000121550010000673921001608535,67392,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,45.4,29
35260526043230000121550010000673801001608410,67380,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,74.3,22
35260526043230000121550010000673831001608447,67383,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,51.3,36
35260526043230000121550010000673931001608540,67393,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,35.7,23
35260526043230000121550010000673791001608401,67379,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,224.4,25
35260526043230000121550010000673861001608473,67386,criada,OK,"INGRID MAUCK MODAS &amp; ACESSORIOS",26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,68.3,31
35260526043230000121550010000673901001608514,67390,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,105.4,34
35260526043230000121550010000673911001608520,67391,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,48.6,32
35260526043230000121550010000673781001608390,67378,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,203.8,23
35260526043230000121550010000673811001608426,67381,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,67.8,30
35260526043230000121550010000673821001608431,67382,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,66,23
35260526043230000121550010000673841001608452,67384,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,67.4,40
35260526043230000121550010000673891001608505,67389,criada,OK,INGRID MAUCK MODAS & ACESSORIOS,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,128.4,34
35260526043230000121550010000674221001609605,67422,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,93.92,18
35260526043230000121550010000674231001609610,67423,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,50,17
35260526043230000121550010000674251001609631,67425,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,114.58,25
35260526043230000121550010000674241001609626,67424,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,41.3,25
35260526043230000121550010000674271001609652,67427,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,93.6,31
35260526043230000121550010000674211001609594,67421,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,134.6,44
35260526043230000121550010000674261001609647,67426,criada,OK,MAUCK JOIAS LTDA,26043230000121,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000200,105.5,14
